,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
85,"['brilliantly', 'present', 'really', 'highquality', 'respondent']",2020-06-18T08:14:10Z,0.1
75,"['love', 'lady', 'kangana', 'respect']",2020-06-18T15:45:15Z,0.5
91,"['love', 'sushant', 'always', 'miss', 'hope', 'better', 'placerip']",2020-06-18T18:32:52Z,0.5
90,"['host', 'give', 'back', 'komal', 'nahata', 'dog', 'facemy', 'heart', 'felt', 'peace']",2020-06-18T20:57:03Z,0.0
95,"['take', 'time', 'news', 'sink', 'tragic', 'death', 'fine', 'talented', 'human', 'rip', 'ssr']",2020-06-19T01:11:38Z,0.09166666666666666
77,"['cant', 'stop', 'cry', 'shillong', 'rip', 'sushant']",2020-06-19T08:12:42Z,0.0
96,"['murder', 'like', 'kill', 'ex', 'sooraj', 'pancholi']",2020-06-19T09:45:27Z,0.0
94,"['murder', 'simpleit', 'need', 'investigatedlove', 'uk', 'sushant']",2020-06-19T11:49:38Z,0.0
32,"['bollywood', 'fail', 'understand', 'use', 'sushanths', 'caliber', 'real', 'gem', 'allrounder', 'good', 'human', 'may', 'god', 'give', 'father', 'family', 'member', 'bear', 'greatest', 'loss']",2020-06-19T17:46:04Z,0.27999999999999997
14,"['murder', 'someone', 'kill', 'want', 'justice']",2020-06-20T04:00:09Z,0.0
83,"['need', 'honor', 'humble', 'actor', 'bring', 'evil', 'doer', 'knee', 'friend', 'fan', 'family', 'need', 'closure', 'soul', 'demand', 'justice']",2020-06-21T07:42:43Z,-0.6
97,"['one', 'provide', 'pertinent', 'information', 'sushant', 'bully', 'forensic', 'team', 'investigate', 'sushants', 'death']",2020-06-21T11:43:47Z,0.0
98,"['pls', 'cover', 'every', 'day', 'till', 'get', 'justice']",2020-06-21T16:45:20Z,0.0
66,"['sushant', 'charm', 'go', 'far', 'career', 'lady', 'man']",2020-06-22T12:53:00Z,0.1
63,"['admire', 'hero', 'want', 'see', 'movie', 'till', 'die']",2020-06-23T16:09:58Z,0.0
92,"['good', 'person', 'hope', 'case', 'do', 'justice', 'soul', 'rest', 'peace']",2020-06-26T14:20:45Z,0.7
73,"['ooze', 'talent', 'intelligence', 'amaze', 'human', 'handsome', 'sushant', 'singh', 'rajput', 'threat', 'bollywood', 'industry', 'totally', 'jealousy', 'impurified', 'mids', 'selfishness', 'love', 'u', 'sushant', 'forever', 'ever', 'always', 'remain', 'heart', 'rip', 'iam', 'sri', 'lanka']",2020-06-26T16:56:20Z,0.25
99,"['ppl', 'tell', 'u', 'get', 'inspiration', 'talented', 'pplbut', 'really', 'one', 'inspire', 'cant', 'tolerate']",2020-06-26T17:18:44Z,0.44999999999999996
