Name,Comment,tone
shoeb shoeb,MODI JI SE PANGA NAHI MANGTA.MODI JI KAAND KARAO. BHARAT KEWAL RSS KA HAI,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'MODI JI SE PANGA NAHI MANGTA.MODI JI KAAND KARAO.', 'tones': []}, {'sentence_id': 1, 'text': 'BHARAT KEWAL RSS KA HAI', 'tones': []}]}"
sangeet hi jivan hai,Fake news,"{'document_tone': {'tones': [{'score': 0.609527, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Jabeena Jabu,i support kisan andolan,{'document_tone': {'tones': []}}
Mubashir Farhan,Pakistanis are watching and eating popcorn. Khalistan zinda bad.,"{'document_tone': {'tones': [{'score': 0.517896, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Pakistanis are watching and eating popcorn.', 'tones': []}, {'sentence_id': 1, 'text': 'Khalistan zinda bad.', 'tones': [{'score': 0.628261, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Mohammed Ismail Qureshi Qureshi,Mujhe abhi tak ye samjha me nai araha ke itne Modi virodi ke baad Bhi BJP jeet kaise rahi hai,{'document_tone': {'tones': []}}
JKS Bhandari,Ravish ji aap jaise journalists ki wajah se desh me Oxizoin ka sancharan ho raha hai... Pl keep it continues... ❤lovve you very much,"{'document_tone': {'tones': [{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Raj Kumar Singh,Good Ravish Kumar ji,"{'document_tone': {'tones': [{'score': 0.66388, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
sidharth sharma,Bc pakao mat,{'document_tone': {'tones': []}}
SURENDRA MAURYA,Ravish bhai... Salute... For real journalism...,"{'document_tone': {'tones': [{'score': 0.971165, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Ravish bhai... Salute...', 'tones': []}, {'sentence_id': 1, 'text': 'For real journalism...', 'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
RAINBOW CREATIONS RAINBOW CREATIONS,Kisan jindabad,{'document_tone': {'tones': []}}
RAINBOW CREATIONS RAINBOW CREATIONS,Jab tak e kisan virodhi sarkar ki kayedi totally stop nahe hojate..tab tak nahe chod na chaheye..jai hind,"{'document_tone': {'tones': [{'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Manharsinh Rathod,એવા કાયદાજ શા માટે ઘડે છે સરકાર કે જેથી વિરોધ કરવો પડે 😔🤬,"{'document_tone': {'tones': [{'score': 0.821548, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
,,{'document_tone': {'tones': []}}
R P Yadav,New bhagat singh ko salam,"{'document_tone': {'tones': [{'score': 0.523189, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
R P Yadav,सिद्धार्थ जी मनोज जी आप लोगो का धन्यवाद,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
Shaynas Fatima,NDTV thank you so much ... hamesha sach dekhane ke liye ..warna aaj kal toh godi media bahut haii,"{'document_tone': {'tones': [{'score': 0.554563, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Shaynas Fatima,My fav ravish Kumar jii....🤗🤗,"{'document_tone': {'tones': [{'score': 0.59695, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Sanjay singh,How can u say modi media....,{'document_tone': {'tones': []}}
R P Yadav,किसान एकता जिन्दाबाद,{'document_tone': {'tones': []}}
dhapola devvansh,पाकिस्तानी गद्दार ज्यादा हैं like करने के लिए,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
