Name,Comment,tone
Rishi Kant,Jis bill me congress virodh kare bas samajh lo vo bill bilkul sahi laha gaya hai....,{'document_tone': {'tones': []}}
Rishi Kant,Abe chutiye ye saale...bicholiye dharne par bethe hai....kyuki unki...dalali khatm ho jaygi....reporter bhi sirf congress karykarta or bicholiye se hi saval puch rahe he....Abe farmer se to pucho jara is bill se unko kitna fayeda milega....,{'document_tone': {'tones': []}}
Anmol Gill,Thanks for showing farmers  protect. Other channel is not showed any news about farmers protest,"{'document_tone': {'tones': [{'score': 0.720783, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.978371, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Thanks for showing farmers  protect.', 'tones': [{'score': 0.67436, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Other channel is not showed any news about farmers protest', 'tones': [{'score': 0.591698, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.928936, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
Vithu Baywar,Berojgari ka bta....  nokari ka bta ravish,{'document_tone': {'tones': []}}
Vithu Baywar,Bakvas,{'document_tone': {'tones': []}}
Rahul Jane,"<a href=""https://www.youtube.com/watch?v=lPFH5VTj3a0&amp;t=20m06s"">20:06</a> too good","{'document_tone': {'tones': [{'score': 0.937954, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Akram Khan,mandi kya des ko khata kr rhi hy,{'document_tone': {'tones': []}}
raj. singh,Gr8 ndtv,"{'document_tone': {'tones': [{'score': 0.957283, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Poonam Sinha,इस मूर्ख पत्रकार को हिंदी का ज्ञान नहीं है।मंडी को कृषि बोलता है।,{'document_tone': {'tones': []}}
Poonam Sinha,किसानों का गौरव आजादी वापस मिला।,{'document_tone': {'tones': []}}
Poonam Sinha,ये मूर्ख पत्रकार किसान जमींदार में फर्क नहीं जानता।किसान खेत का मालिक है।जमींदार खून चूसता है।,{'document_tone': {'tones': []}}
Poonam Sinha,"क्या वकील साहेब, MP को संसद में नृत्य,संगीत,कुश्ती,uchhal kood करने का हक किसने दिया।",{'document_tone': {'tones': []}}
Jamshed _khan,Ravesh kumar  ur  honest man 👍👍👍👍👍👍👍👍,"{'document_tone': {'tones': [{'score': 0.630275, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Bhagyashri Nitnaware,Great news sir,"{'document_tone': {'tones': [{'score': 0.735451, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
daljeet gill,Sir oil par state tex kab Khatam hoga hame oil campany se seda oil kab mele ga bechloea kab katam hoga,{'document_tone': {'tones': []}}
Anuwar Hussain,Kiya koho........,{'document_tone': {'tones': []}}
Chandrakant Patil maharaj,झुठा आदमि,{'document_tone': {'tones': []}}
Vitamin Protein,ye sabse bada randi ka bacha hai,{'document_tone': {'tones': []}}
Raj Sharma,Logically modi is giving fame to ravish by making ridiculous bills! Ravish ki roji roti modi ke karan chal rahi hai😂,"{'document_tone': {'tones': [{'score': 0.843513, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Logically modi is giving fame to ravish by making ridiculous bills!', 'tones': [{'score': 0.644205, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Ravish ki roji roti modi ke karan chal rahi hai😂', 'tones': []}]}"
Kulwinder Ghuman,Ravish kumar🙏🙏👍👍,"{'document_tone': {'tones': [{'score': 0.757652, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Gopal Soni,Doob maro chullu bhar pani main Ravi&#39;s ji  ya fir des chod do jai shri ram jai bharat jai bheem,{'document_tone': {'tones': []}}
vandana kumari,Om,{'document_tone': {'tones': []}}
Upendra Maurya,Abe pagla gye ho ka ravish kahe Ka Rona ro rhe ho,{'document_tone': {'tones': []}}
ÅñÑÚ StP,अंधभक्तों को बेवकूफ बनाना बहुत आसान है।<br>लेकिन उन्हें बेवकूफ किसने और किसलिए  बनाया  ये समझाना बहुत मुश्किल है  ।।।।।।😅😅😅🤣🤣<br>अंधभक्तों को समर्पित।।।।।🤣🤣🙏🙏🙏🙏🤣🤣🤣🤣,"{'document_tone': {'tones': [{'score': 0.610555, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Shreyansh Jain,"Jai jawan jai kisan, mei sirf jawan ka hi Vikas ho rha hai kisan ko dba diya ja raha hai..jaise bill parliament mei pass hua hai democracy ka end kar dia hai BJP ne",{'document_tone': {'tones': []}}
Sandesh Beekay,Mein raja rabish kumar,{'document_tone': {'tones': []}}
Aaftab Aalam Khan,Death of democracy,"{'document_tone': {'tones': [{'score': 0.594186, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Master Che,Modi kutta india ko chodwa raha... 😀,{'document_tone': {'tones': []}}
Sed Lyf,Now andhbhakts will call farmers ANTI-NATIONAL,"{'document_tone': {'tones': [{'score': 0.632685, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
vasundhra yadav,श्रीमान जी मैने ये पढ़ा है कि किसानों के साथ जो अनुबंध किया जाएगा उसके तहत किसानों को जो रकम फसल की कीमत के रूप में दी जाएगी उसे  बैंक से या उस संस्थान से  जोड़ दिया जाएगा जहां से किसान ने ऋण लिया होगा और पहले ऋण की अदायगी होगी और बची हुई रकम किसान को मिलेगी।यदि ऐसा अनुबंध है तो फिर किसी प्राकृतिक आपदा के कारण फसल नष्ट हो जाए और किसान कर्ज न चुका पाए तब क्या होगा?<br>छोटी जोत वाले किसानों को तो कर्ज लेना ही पड़ेगा ।किसी  पारिवारिक और सामाजिक काम के लिए उन्हें धन कि जरूरत हो और किसान ऋण न चुका पाए तब क्या होगा?,{'document_tone': {'tones': []}}
Shantanu Khandkar,राष्ट्रीय मिल मजदूर संघ ने उस कानुन का समर्थन किया था जिस कानुन के तहत मिल मालिकों को मिल की जमीनें करोडों मे बेचने की मान्यता दी गयी। सरकार भी काँग्रेस की थी और मिल मजदुर संघ भी काँग्रेस का था।<br><br>तो अपनी बकवास अपने पास रखो। असली किसान इस नये कानून के पक्ष मे है।,{'document_tone': {'tones': []}}
Lovepreet Singh,Sirf Apka channel hy India mein jo sach bolta hy<br>Sirf app ne kisano ki bat ki.<br>Baki to sab Modimedia bna hyu hy<br>Khtm kar dega jeh Aadmi india ko.,{'document_tone': {'tones': []}}
Aijaz Hussain,Vary good news sar,"{'document_tone': {'tones': [{'score': 0.650703, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Ramvir Singh,रवीश कैसा पत्रकार है यार राजस्थान में इतनी बड़ी घटना हो गई अरे राजस्थान सरकार के बारे में जानकारी का वीडियो वहां क्या कर रही है सरकार,{'document_tone': {'tones': []}}
naresh bandari,All 3 Bill&#39;s are amendments to existing bills...your logic falls flat,"{'document_tone': {'tones': [{'score': 0.651176, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.61476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Vartika Yadav,😔😔😔,"{'document_tone': {'tones': [{'score': 0.780604, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
The Mahesh,जब खुद पे बनी अती है...तो रविश कुमार सही लगने लगता है ....,{'document_tone': {'tones': []}}
Dinesh Verma,Private mandi ko tax se choot q hai?,{'document_tone': {'tones': []}}
Mandeep Mallhi,Thanks sir....sir ajj di date ch j koi Chanel hai tan oh ndtv hai ...baki media tan vikhooo hai.....👍,"{'document_tone': {'tones': [{'score': 0.596217, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Mohammed Abdul Waheed,Bill in favour of govt and against farmers,"{'document_tone': {'tones': [{'score': 0.784225, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Truth Speaker,Request to educated people. Don’t vote for BJP &amp; RSS. Also boycott Republic World &amp; Kangana who thinks Karnataka farmers are terrorists. Jai Hind 🙏,"{'document_tone': {'tones': [{'score': 0.576423, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Request to educated people.', 'tones': []}, {'sentence_id': 1, 'text': 'Don’t vote for BJP &amp; RSS.', 'tones': []}, {'sentence_id': 2, 'text': 'Also boycott Republic World &amp; Kangana who thinks Karnataka farmers are terrorists.', 'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'Jai Hind 🙏', 'tones': [{'score': 0.640031, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
,,{'document_tone': {'tones': []}}
Aslam Khan,They are Gujrati.,{'document_tone': {'tones': []}}
Mohammad safiuallah,😨,"{'document_tone': {'tones': [{'score': 0.658766, 'tone_id': 'fear', 'tone_name': 'Fear'}]}}"
kulwinder bhullar,ThankQ sir👍👍,"{'document_tone': {'tones': [{'score': 0.606349, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Ali Usmani,🏆🏆🏆🏆,{'document_tone': {'tones': []}}
Tahir Hussain,Jab janta galaty krey toh anjaam kaisa hota hai<br><br>Aisa hi hota hai jesa chal raha hai,{'document_tone': {'tones': []}}
Tahir Hussain,Baadshah ki ak galaty <br>Ka  khamiyaza <br><br>Saree janta ko bhugatna padta hai,{'document_tone': {'tones': []}}
Tahir Hussain,Jis kanoon ko kisaan acha nahin maan rahey <br>Toh onper aisa kanoon thopna ak tana sahi hi<br>Kaha ja sakta hai<br>Yah kanoon aazadi ko<br>Khatam kernay wala<br>Hathyaar hay,{'document_tone': {'tones': []}}
