,id,message,tone
103,322,Very big question is Whhhhhyyyyy??????,"{'document_tone': {'tones': [{'score': 0.970179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
104,323,Very shocking...may his soul rest in peace,"{'document_tone': {'tones': [{'score': 0.67771, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
105,324,Omg so sad may his soul rest in peace,"{'document_tone': {'tones': [{'score': 0.842631, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
106,325,Onam Mukherjee Mitra Yes this true because of no income and no Film and a luxurious lifestyle..,"{'document_tone': {'tones': [{'score': 0.738426, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
107,326,Rip🙏💐,{'document_tone': {'tones': []}}
108,327,Why???,{'document_tone': {'tones': []}}
109,328,Mohammed Ali Khan teri puncture shop open hai ya nahi? ,{'document_tone': {'tones': []}}
110,329,Rip ,{'document_tone': {'tones': []}}
111,330,کافر اپنے ہاتھوں سے موت کے گھاٹ اتر گیا- الامان الامان الامان,{'document_tone': {'tones': []}}
112,331,"Mohammed Ali Khan ya isme bhi modi ka haath hain vaise hi jaise tere paida hone main, baap banne main aur mamu banne main. ",{'document_tone': {'tones': []}}
113,332,Watched his last movie Chichore in which his Son try to commit suicide but he motivates him to live his life beautifully..  Unbelievable,"{'document_tone': {'tones': [{'score': 0.701827, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
114,333,So sad 😭,"{'document_tone': {'tones': [{'score': 0.948719, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
115,334,जगाव की मराव हा एकच सवाल आहे. ह्या दुनियेच्या ऊकिरड्यावर खरकट्या पत्रावळीचा तुकडा होऊन जगाव बेशरम लाचार आनंदान ? का फेकुन द्याव देहाच लखतर मृत्यूच्या काळाशार डोहामध्ये? आणि करावा शेवट सर्वांचा एकाच प्रहाराने? माझा तुझा ह्याचा अन त्याचाही.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'जगाव की मराव हा एकच सवाल आहे.', 'tones': []}, {'sentence_id': 1, 'text': 'ह्या दुनियेच्या ऊकिरड्यावर खरकट्या पत्रावळीचा तुकडा होऊन जगाव बेशरम लाचार आनंदान ?', 'tones': []}, {'sentence_id': 2, 'text': 'का फेकुन द्याव देहाच लखतर मृत्यूच्या काळाशार डोहामध्ये?', 'tones': []}, {'sentence_id': 3, 'text': 'आणि करावा शेवट सर्वांचा एकाच प्रहाराने?', 'tones': []}, {'sentence_id': 4, 'text': 'माझा तुझा ह्याचा अन त्याचाही.', 'tones': []}]}"
116,335,How could this news be true. Why? Can't understand,"{'document_tone': {'tones': [{'score': 0.920133, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.883404, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'How could this news be true.', 'tones': [{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': ""Why? Can't understand"", 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
