id,snippet.topLevelComment.snippet.textDisplay,tone
76,Rip Sushant Singh rajput­čśş­čśş­čśş,"{'document_tone': {'tones': [{'score': 0.754566, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
77,Love this lady Kangana... More respect to her now,"{'document_tone': {'tones': [{'score': 0.851758, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Love this lady Kangana...', 'tones': [{'score': 0.882749, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'More respect to her now', 'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
78,Respect Rahul Shivshankar.You are undoubtedly the best we have.Komal Nahata and Samir Soni continue licking those who feed you!!RIP True talent SSR,"{'document_tone': {'tones': [{'score': 0.689543, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
79,I can't stop crying now from Shillong Rip sushant,"{'document_tone': {'tones': [{'score': 0.97269, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
80,"Will watch ""Blood Diamond"", "" the Bank Job"" Or ""Edge of Tomorrow: live die repeat"" Again, then wasting time on boring mainstream Bollywood cliche movies.","{'document_tone': {'tones': [{'score': 0.677143, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
81,Totaly planed murder,{'document_tone': {'tones': []}}
82,Thanks times now for having courage to expose the truth,"{'document_tone': {'tones': [{'score': 0.741481, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
83,A person with so much passion and ambition can't end his own life......­čśó  Investigation is must.........  Watch kangna ranaut's video.......,"{'document_tone': {'tones': [{'score': 0.6865, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
84,"Initially thought kangana was over reacting against these nepotism gangster...... Now we know how dangerous they we're..... Suppressing talented actor, destroying their career, bringing Pakistani actors & singers to replace Indian talent, promoting Muslim religion in guise of Sufi songs, Muslim protagonist stories, underworld funding, insulting Hindus through cinema...etc. Etc.","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': ""Initially thought kangana was over reacting against these nepotism gangster...... Now we know how dangerous they we're..... Suppressing talented actor, destroying their career, bringing Pakistani actors & singers to replace Indian talent, promoting Muslim religion in guise of Sufi songs, Muslim protagonist stories, underworld funding, insulting Hindus through cinema...etc."", 'tones': [{'score': 0.509264, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'Etc.', 'tones': []}]}"
85,"We need to honor this humble actor by bringing the evil doers to their knees. His friends,  fans and family needs closure and his soul demands ""JUSTICE ""","{'document_tone': {'tones': [{'score': 0.545668, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'We need to honor this humble actor by bringing the evil doers to their knees.', 'tones': []}, {'sentence_id': 1, 'text': 'His friends,  fans and family needs closure and his soul demands ""JUSTICE ""', 'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
86,#SushantSinghRajput ­čÖĆOm Shanti­čÖĆ #BoycoatKaranJohar #BoycoatSalmanKhan,{'document_tone': {'tones': []}}
87,Brilliantly presented and some really high-quality respondents..,"{'document_tone': {'tones': [{'score': 0.671094, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
