Name,Comment,tone
Surrender Modi,Free Khalistan!,{'document_tone': {'tones': []}}
Dampy mander,Support farmer ðŸ™�,{'document_tone': {'tones': []}}
Muhammed Ali p,Modi sarkar murdabad ðŸ˜¡ kisaan ekta Full support â�¤ï¸�ðŸ’ª,{'document_tone': {'tones': []}}
Nishant Patel28,This is supposed to be peaceful tractor rally isn&#39;t?  Not wild rally ðŸ¤¬ðŸ¤¬,"{'document_tone': {'tones': [{'score': 0.936899, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This is supposed to be peaceful tractor rally isn&#39;t?', 'tones': [{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Not wild rally ðŸ¤¬ðŸ¤¬', 'tones': []}]}"
Dhruv Tyagi,Goli kaise chala sakte hain...atankwadi nahi hain bhai ...hamare apne log hain. Very very shameful act by Police.,"{'document_tone': {'tones': [{'score': 0.981352, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Goli kaise chala sakte hain...atankwadi nahi hain bhai ...hamare apne log hain.', 'tones': []}, {'sentence_id': 1, 'text': 'Very very shameful act by Police.', 'tones': [{'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Abhishek Saha,Hooliganism in name of protest . Shame to these people . Thuu . Feku farmers .,"{'document_tone': {'tones': [{'score': 0.511956, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Hooliganism in name of protest .', 'tones': [{'score': 0.595984, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'Shame to these people .', 'tones': [{'score': 0.519522, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'Thuu .', 'tones': []}, {'sentence_id': 3, 'text': 'Feku farmers .', 'tones': [{'score': 0.582078, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Fazal Abdul,How can u call u them a rioters .... they are protestors... donâ€™t give a conclusion without having clear pictire,{'document_tone': {'tones': []}}
Chitransh Nehra,Acha kiya police ne aiso ko goli hi Marni chahiye,{'document_tone': {'tones': []}}
Piyush Bansal,shame on sikh,"{'document_tone': {'tones': [{'score': 0.597771, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Soma Raju,Farmers  be cool your lifes are important,"{'document_tone': {'tones': [{'score': 0.813608, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Raja ji,Aj lgra h congress n sahi kiya tha ðŸ˜‚ðŸ˜‚,{'document_tone': {'tones': []}}
Nick Hartnet,CJI should step down,{'document_tone': {'tones': []}}
