Name,Comment,tone
JatGabroo01,"Police shut off internet and incited violence and led kisans in direction of lal killa.  There are witnesses to all this.  Kisaans even caught a policeman red handed in common clothes vandalizing police vehicles.  people should be aware.  police is inciting violence.  Kisans made some mistakes, but, their intentions are good.  BJP intention is to beat and discredit no matter what.  Regardless, this andolan will not end just because BJP is trying to discredit.  It will make it stronger.","{'document_tone': {'tones': [{'score': 0.523448, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.851735, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.796798, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Police shut off internet and incited violence and led kisans in direction of lal killa.', 'tones': [{'score': 0.582594, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.587989, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'There are witnesses to all this.', 'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Kisaans even caught a policeman red handed in common clothes vandalizing police vehicles.', 'tones': [{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'people should be aware.', 'tones': []}, {'sentence_id': 4, 'text': 'police is inciting violence.', 'tones': []}, {'sentence_id': 5, 'text': 'Kisans made some mistakes, but, their intentions are good.', 'tones': [{'score': 0.505114, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 6, 'text': 'BJP intention is to beat and discredit no matter what.', 'tones': [{'score': 0.93534, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 7, 'text': 'Regardless, this andolan will not end just because BJP is trying to discredit.', 'tones': [{'score': 0.821913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.867767, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 8, 'text': 'It will make it stronger.', 'tones': [{'score': 0.675579, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
Super Buddy,"These are not farmers, these are rioters.. if the farmers leaders not able to conduct the rally peacefully as accepted, they could have cancelled. we have to send all the leaders to jail for making Delhi&#39;s people miserable day.","{'document_tone': {'tones': [{'score': 0.682161, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.764666, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.908592, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'These are not farmers, these are rioters.. if the farmers leaders not able to conduct the rally peacefully as accepted, they could have cancelled.', 'tones': [{'score': 0.720782, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'we have to send all the leaders to jail for making Delhi&#39;s people miserable day.', 'tones': [{'score': 0.870892, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
Harsha K,Chamche ndtv,{'document_tone': {'tones': []}}
Marcus danizel,The sikh made the biggest mistake of there life,"{'document_tone': {'tones': [{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
fun with fazar,Lol lol lol lol lolfkffoydu🙏,"{'document_tone': {'tones': [{'score': 0.806564, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Marcus danizel,Democracy from west have its consquences  bear the fruit of democracy,{'document_tone': {'tones': []}}
Jyotsana Yadav,Shameless<br>Ye Kisan Ni h<br>Kisan k nam pe dhabba deshdrohi <br>Na inko government k respect h itne din se bat ho thi PR Inka ego h k inko koi solution chahiye Ni..na inko low n order k respect na inko national festival or flag koi respect..<br>Ye SB Desh drohi h iinko Saja Milne chahiye or public plz inko support kr k whii hrkte Mt kro,{'document_tone': {'tones': []}}
Asghari Saeed,Sikh without weapons...the Indian Hindus police will eat you.. its tine to get your freedom,"{'document_tone': {'tones': [{'score': 0.71044, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
samshad khan,We support farmers,"{'document_tone': {'tones': [{'score': 0.535363, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
samshad khan,We support farmers,"{'document_tone': {'tones': [{'score': 0.535363, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
samshad khan,Nice channel,"{'document_tone': {'tones': [{'score': 0.802487, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Ruby Tomar,Jai kissan ka Nara band kr Dena chahiye ... Jo danga kare usko sidha goli mar deni chaiye ....,{'document_tone': {'tones': []}}
Sakshi Mukati,Modi kunnon wapas lelete to ye nhi hota,{'document_tone': {'tones': []}}
Hinduraaj Thakor,Acha kiya Salo Ko Khdedo,{'document_tone': {'tones': []}}
Hinduraaj Thakor,Ye sab Atnkvadi He,{'document_tone': {'tones': []}}
Shivam Rai,Gazab Biased ho tumlog.... Maan gye tumlogon ko.... 🙏🙏,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
Sam,Program ka nam desh ki bat nahi balki dushmano ki bat honi chahiye kyu ndtv ik deshdrohi channel hai,{'document_tone': {'tones': []}}
Gunjan Kumar,shashan banduk ke nuk par chalti hai. batkarne se nahi.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'shashan banduk ke nuk par chalti hai.', 'tones': []}, {'sentence_id': 1, 'text': 'batkarne se nahi.', 'tones': []}]}"
Khurram Naveed,Ye to ho ga,{'document_tone': {'tones': []}}
Pawan Nayak,Saram karo ndtv or ye log jinhone aesa kiya,"{'document_tone': {'tones': [{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Safdar Bhatti,DON&#39;T CRAY INDIA....  KISSAN IS GREAT   MORE TO COME,"{'document_tone': {'tones': [{'score': 0.676491, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
CHAMPA DIL SE,Shrad  ji ka muh tedaa ho gya prntu abhi take   desh ke prti gdaari nhi chodi apne are aap stta ke liye  desh beche doge  kya??,{'document_tone': {'tones': []}}
Mahammad Alatab,Sabse bada Gunda Gruh Mantri hi hai,{'document_tone': {'tones': []}}
Mahammad Alatab,Shame on you Modi Sarkar,"{'document_tone': {'tones': [{'score': 0.56157, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Shyamu Kumar,Jai kisaan,{'document_tone': {'tones': []}}
Amir Anwar,My comments Indians pepals please Please halp kissan,{'document_tone': {'tones': []}}
Ismail Hotel,Jai kisan 🇵🇰💕🇵🇰🥀🌹 Ismail JT,"{'document_tone': {'tones': [{'score': 0.851865, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Shama Parveen,Pm  modi shram karo,{'document_tone': {'tones': []}}
mr Bruce Lee 😎,Delhi government🖕,{'document_tone': {'tones': []}}
Abhishek Rohilla,Ndtv kisan ekta zindabad Jai Hind,{'document_tone': {'tones': []}}
zila wylde,"Sab ka saat, ambani,  adaani ka vikas.",{'document_tone': {'tones': []}}
zila wylde,Good,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Acme Design,TU ENKER HAI ANCHOR NAHI,{'document_tone': {'tones': []}}
