Name,Comment,tone
Beautiful World Videos,"Jai kisan..<br>Now in this country, because of dirty bjp rule, everyone except bjp are terrorist as per RSS. RSS is gundas they treat farmers as terrorist.. what a shame","{'document_tone': {'tones': [{'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Jai kisan..<br>Now in this country, because of dirty bjp rule, everyone except bjp are terrorist as per RSS.', 'tones': [{'score': 0.778006, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'RSS is gundas they treat farmers as terrorist.. what a shame', 'tones': [{'score': 0.731993, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
DAYANAND SP,Chu*yappa channel hai🖕,{'document_tone': {'tones': []}}
Forest kingdom,Farmers are not so rich this is a funded propaganda,"{'document_tone': {'tones': [{'score': 0.619522, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
DILPREET SINGH,Modi tainu ta Hun 3 years de shote children v gaala kad de han sharam kar hun.punjab nu kujj dita tu ta hain nai kadi kujj is layi a v bhul ja ke kisaana te zabardasti kar lawe ga,{'document_tone': {'tones': []}}
Hardip Singh,🇮🇳🇮🇳🇮🇳👍👍👍go,"{'document_tone': {'tones': [{'score': 0.595258, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Single record,Jaii kisan jaii jwan,{'document_tone': {'tones': []}}
surjeet rai,Aaj tak dii maa dii chutt,{'document_tone': {'tones': []}}
CreationDevine,Kissaaan ekta 🏴🏴🏴🇮🇳🇮🇳 Jindabaad modi sakaar murdabaad,{'document_tone': {'tones': []}}
Noor khan 15 Noorkhan,Godi murdabad godi kissano ki maange puri kro,{'document_tone': {'tones': []}}
Mr Sajan Kumar,Jab Kisi Ladki Ke Sath balatkar ho jata hai Jab Ja Sarkar Nahin sunti e aap bhi nahin sunte news wale Sahi news Nahin dikhte is Modi Se Puchte Hain aap aap Nayak Jaise interview lo isase ek ek baat Poocho Sare vade Jhuthe Kyon kiye,{'document_tone': {'tones': []}}
Mr Sajan Kumar,News Walon aap Kyon Nahin bolate Bil bapsi Lele Modi kar sakta tha Bada Pradhan Mantri Hai Har chij ho sakti hai,{'document_tone': {'tones': []}}
Mr Sajan Kumar,Inke bare mein Burai kar rahe hain Modi Bura Hai Modi Bura Hai Modi Ne Sare Bada Jhooth kiye,{'document_tone': {'tones': []}}
Mr Sajan Kumar,Inki Baat Suni Raha Na news wale Sach Bata Re,{'document_tone': {'tones': []}}
Mr Sajan Kumar,Modi dekh to raha hoga sharm Nahin a Rahi Hogi,{'document_tone': {'tones': []}}
Mr Sajan Kumar,Sardar Ko Salam,{'document_tone': {'tones': []}}
Mr Sajan Kumar,Modi ko Bulao Modi ko Bulao,{'document_tone': {'tones': []}}
sohail razvi,Welldone jai jawan jai kisan,{'document_tone': {'tones': []}}
Mr Sajan Kumar,", kya baat hai maja a Gaya",{'document_tone': {'tones': []}}
L N,The world is watching ✊🏼🌅,"{'document_tone': {'tones': [{'score': 0.520823, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Take you south-map video,The woman in the red dress is very beautiful!,"{'document_tone': {'tones': [{'score': 0.890857, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
mandeep hundal,For once show some real news .kisan ekta zindabad .,"{'document_tone': {'tones': [{'score': 0.920133, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'For once show some real news .kisan', 'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'ekta zindabad .', 'tones': []}]}"
Adnan Saati,Sada HAQ ithay RaKH.... !! Kisaaan  desh ki AAn.. !! Prayers &amp;  Love from PAKISTAN.. &lt;3,"{'document_tone': {'tones': [{'score': 0.603043, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Shiv kumar Dilvale,Godi Media,{'document_tone': {'tones': []}}
BaBa BaeBee TesTube,No Arrest Just Rest,"{'document_tone': {'tones': [{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
World Hindi Facts & Knowledge,Aa gaya yogi ji ka time actions lene ka,{'document_tone': {'tones': []}}
attique fuu,مودی  پاکستان سےمار کھانے اور جھوٹ بولنے کے بعد خاموش، دھمکیاں،بڑھکیں اور بونگیاں مارنا بند ۔یوم جمہوریہ پر لال قلعہ میں سکھوں کے قومی پرچم کا لہرانا ہندؤوں انتہاپسند سکھوں کے خلاف۔انڈیا میں مارشل لاء کا خطرہ منڈلا رہا ہے۔انڈین فوج پہلی دفعہ حکومتی امور سنبھالنے کے لیے تیار ۔حکومت کی ساری توانائیاں پاکستان دشمنی پر مبنی۔۔۔135 کروڑ ہندوستانی عوام اور انتہا پسند مودی کی حکومت اپنے سے 7 گنا چھوٹے22 کروڑ پاکستانیوں کیخلاف جھوٹے پروپیگنڈے میں مصروف۔۔جھوٹے فالس فلیگ آپریشن،بالاکوٹ میں IAF کی ناکامی،ابھی نندن کی رسوائی مقبوضہ کشمیر میں مسلمانوں پر ظلم و جبر اور پلوامہ میں اپنے ہی فوجیوں کو خود ہی قتل کرنے پر  انڈین انٹلیجنس ایجنسی RAW ، انڈین ملٹری اور آرمی کے سنجیدہ آفیسران مودی حکومت سے ناخوش۔حکومت کی ساری توانائیاں پاکستان دشمنی پر مبنی۔۔۔۔معاشی ناکامی،مودی کی انتہاپسندی اور شر انگیزی نے دنیا کی سب سے بڑی معاشی طاقت چین بھی مودی کی وجہ سے ہندوستان کا دشمن بن چکا.آرمی چیف کی فرنٹ ڈیسک آفیسرز سے خفیہ ملاقاتیں کسی طوفان کا پیش خیمہ۔۔۔۔ہندوستان میں فوجی انقلاب کی بازگشت۔۔,{'document_tone': {'tones': []}}
Sumit Bagga,Aaj tak walon ka zameer jaag gya ya ye bhi plant kar diyye Chaddi Gang ne,{'document_tone': {'tones': []}}
Veer Siyaram,Ye kya kar diya🖕,{'document_tone': {'tones': []}}
SANDEEP SANDEEP,Kisaan akta zindabad,{'document_tone': {'tones': []}}
Nitin Sharma,Dislike this. Channel,"{'document_tone': {'tones': [{'score': 0.547066, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Dislike this.', 'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'Channel', 'tones': []}]}"
Ankita Tiwari,Why this happening in our country because our government is kind,"{'document_tone': {'tones': [{'score': 0.731735, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
EXPERT COMPUTER,SAHI ME ABP BIKAU HO GAYA HAI BJP BHKT CHAILAN BAND KARKE CHAPULUSI KARO,{'document_tone': {'tones': []}}
Saiyad Hasim,Jay jawan Jay kishan,{'document_tone': {'tones': []}}
Saiyad Hasim,India zindabaad kisan zindabaad,{'document_tone': {'tones': []}}
Junaid Magray,Badwa and dalal media at its  best,"{'document_tone': {'tones': [{'score': 0.884709, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
TASKEEN SPORTS,Jai kaisan,{'document_tone': {'tones': []}}
Gurmeet Wahla,Ajj tk bekau va,{'document_tone': {'tones': []}}
Vikash a2z Store,Mera border khali kro nhi to ma chod denge,{'document_tone': {'tones': []}}
Love Kumar,Bjp murda bad,"{'document_tone': {'tones': [{'score': 0.529403, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
