Name,Comment,tone
Nature Lover,Modi chutea ko bolo jo phle note bandi ki thi os ke results dekh lea ab Tu ghanta kare ga gandu pm hai abhi tak ka,{'document_tone': {'tones': []}}
Jaya Karki,Govt. is preparing  another kasmir. This a limitless atrocity against Kisan Majdur sangharsh.,"{'document_tone': {'tones': [{'score': 0.527086, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Govt. is preparing  another kasmir.', 'tones': [{'score': 0.673607, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'This a limitless atrocity against Kisan Majdur sangharsh.', 'tones': []}]}"
Kareem Kareem,rss kutta,{'document_tone': {'tones': []}}
gaming with lily,Jai jawan jai kisaan kya faida is slogan ka abh,{'document_tone': {'tones': []}}
Mahendrakumar Patel,à¤°à¤µà¤¿à¤¶à¤•à¥à¤®à¤¾à¤° à¤¤à¥à¤®à¥à¤¹à¤¾à¤°à¥€ à¤•à¥‹à¤‚à¤—à¥à¤°à¥‡à¤¸ à¤¶à¤¾à¤¸à¤¨à¤®à¥‡à¤‚ à¤–à¥€à¤šà¤¡à¥€ à¤ªà¤•à¤¤à¥€ à¤¥à¥€ à¤…à¤¬ à¤•à¤šà¥à¤šà¥€ à¤¹à¥€ à¤°à¤¹à¥‡à¤—à¥€à¥¤,{'document_tone': {'tones': []}}
Harry gill Harry gill,"punjab me bi aisa he hai sir <br>kisano se 2,4 rupe k hisab se lekar <br>bahar 50,60 rupe kg bikti hai sabjia <br>ye toh poori tarah ki loot hai sir",{'document_tone': {'tones': []}}
Harry gill Harry gill,NDTV sabse best chenal hai RAVISH  KUMAR ki vajah se,{'document_tone': {'tones': []}}
Razzak Khan,Kyu nahi kar rahi sarkar in sa baat Kyu nahi diya ja raha inko Dili modi ko or wo woot murda baad,{'document_tone': {'tones': []}}
Ajit Kumar,Sahinbag part 2 start,{'document_tone': {'tones': []}}
Shardul Lamba,"Bhai Janata itni bholi nahin rahi, jitni 30 saal pehle thi!! Yeh Sardaar ek jut hai not kisaan!!  Yeh ch**tya News Anchors ko kyun nahin samajh Aati!!!","{'document_tone': {'tones': [{'score': 0.573143, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
