,Reply,Published,sentiment
166,"['gopal', 'sriniwasan', 'lol', 'gopal', 'srinivasnan', 'name', 'apologist', 'naxalite', 'evangelist']",2021-07-06T11:31:17Z,0.4215
200,"['sanatani', 'first', 'gobar', 'head', 'need', 'certificate', 'patriotic']",2021-07-06T12:03:58Z,0.0
201,"['best', 'hope', 'lol', 'convert', 'sell', 'soul', 'church', 'abuse', 'hindu', 'heathen', 'every', 'sunday', 'abuse', 'hindu', 'god', 'satan', 'abuse', 'hindu', 'gobar', 'head', 'sure', 'patriotic', 'tell', 'next', 'joke', 'goa', 'inquisition', 'love']",2021-07-06T12:09:52Z,0.5994
75,"['sanatani', 'first', 'consider', 'age', 'n', 'influence', 'state', 'feel', 'weak']",2021-07-06T12:18:25Z,-0.4404
254,"['syladin', 'stormlight', 'u', 'reply', 'register', 'fall', 'trap', 'polarise', 'create', 'atmosphere', 'suspicion', 'witch', 'hunt']",2021-07-06T12:21:49Z,-0.6486
255,"['rituraj', 'u', 'r', 'ryt']",2021-07-06T12:44:57Z,0.0
180,"['jam', 'watkins', 'shame', 'government', 'independence', 'still', 'underprivileged', 'country', 'condemn', 'first', 'rather', 'make', 'stupid', 'statement']",2021-07-06T13:40:07Z,-0.8442
163,"['judiciary', 'country', 'bro', 'belong', 'clan', 'time', 'people', 'country', 'question', 'hold', 'judge', 'accountability']",2021-07-06T13:54:47Z,0.0
52,"['oh', 'shut', 'pleaseat', 'least', 'today', 'sake']",2021-07-06T14:06:00Z,0.0
76,"['bravohow', 'low', 'culture', 'come']",2021-07-06T14:07:00Z,-0.2732
57,"['mr', 'ignorance', 'peak', 'without', 'delve', 'reality']",2021-07-06T14:31:49Z,-0.3612
142,"['people', 'arrest', 'year', 'back', 'nothing', 'suddenly', 'people', 'cry', 'horse', 'deathbtwhe', 'die', 'pvt', 'hospitaland', 'sure', 'would', 'like', 'enquiry', 'negligence', 'hospital']",2021-07-06T14:35:23Z,0.0139
111,"['wish', 'majorityso', 'accept', 'go', 'country', 'feel', 'give', 'justice', 'per', 'wish']",2021-07-06T14:37:31Z,0.886
78,"['lord', 'say', 'sheep', 'meek', 'accept', 'faithi', 'sure', 'true', 'follower', 'lord']",2021-07-06T14:40:56Z,0.7717
79,"['meek', 'whose', 'history', 'full', 'ethnic', 'cleanse', 'genocide', 'lol']",2021-07-06T14:42:44Z,0.4215
206,"['sense', 'spread', 'hatred', 'accuse', 'spread', 'hatred', 'need', 'read', 'love', 'give', 'poor', 'amp', 'destitute', 'phrase', 'quotmissed', 'busquot', 'use', 'person', 'indeliberately', 'leaf', 'certain', 'thoughtideathought', 'relevant', 'scheme', 'thing', 'act', 'hatred', 'voluntarily', 'plan', 'well', 'think', 'act', 'quotmiss', 'busquot', 'opinion', 'highly', 'contradictory', 'require', 'explanation', 'moreover', 'halt', 'ignorant', 'stooge', 'fascist', 'look', 'get', 'rid', 'first', 'opportunity', 'get', 'hand']",2021-07-06T14:54:53Z,-0.9099
210,"['sanatani', 'first', 'present', 'lynch']",2021-07-06T15:03:32Z,0.0
50,"['true', 'sir']",2021-07-06T15:07:52Z,0.4215
211,"['jock', 'lol', 'jock', 'compare', 'handful', 'lynch', 'do', 'villager', 'thief', 'systematic', 'lynch', 'nonbeliever', 'do', 'million', 'last', 'yearssuch', 'good', 'christian', 'sure', 'go', 'heaven', 'nice', 'way', 'whitewa']",2021-07-06T15:10:36Z,0.8658
212,"['sanatani', 'first', 'like', 'comment', 'feel', 'insecure', 'bully', 'kid']",2021-07-06T15:14:23Z,-0.5423
213,"['jock', 'insecure', 'yahweh', 'would', 'burn', 'hell', 'anyone', 'follow', 'go', 'read', 'bible', 'old', 'testament', 'learn', 'insecureand', 'never', 'choir', 'boy', 'never', 'plaything', 'padre', 'go']",2021-07-06T15:19:01Z,-0.8126
214,"['sanatani', 'first', 'insecure', 'duck', 'bark', 'filth', 'guess', 'forget', 'rice', 'bag', 'aid', 'come', 'western', 'country']",2021-07-06T15:23:53Z,-0.5719
53,"['mean', 'police', 'maharastra', 'help', 'lynch', 'palghar', 'sadhu', 'decent']",2021-07-06T15:40:30Z,0.4019
128,['fact'],2021-07-06T16:07:41Z,0.0
80,"['wiseman', 'say', 'screw', 'kid', 'become', 'bishop']",2021-07-06T16:58:51Z,-0.1027
137,"['think', 'rice', 'bag', 'dont', 'believe', 'karma', 'sad', 'day', 'rice', 'bag', 'milk', 'powder']",2021-07-06T17:05:01Z,0.3724
151,"['dont', 'know', 'nia', 'sure', 'celebrate', 'guy', 'home', 'town', 'there', 'nothing', 'could', 'wish', 'he', 'rot', 'naragam']",2021-07-06T17:08:16Z,0.123
116,"['sanatani', 'first', 'dumbo', 'naxalites', 'use', 'lotus', 'government', 'n', 'r', 'election', 'time', 'kill', 'soldier', 'country', 'patriotism', 'drama', 'n', 'put', 'blame', 'others']",2021-07-06T18:14:41Z,-0.7964
81,"['sanatani', 'first', 'weaked', 'creature', 'heart', 'trouble']",2021-07-06T18:17:12Z,-0.4019
82,"['bona', 'rodrigues', 'come', 'another', 'true', 'christian', 'belief', 'hindu', 'creature', 'pagan', 'get', 'hell', 'cult', 'sick', 'teach']",2021-07-06T18:20:19Z,-0.7269
202,"['sanatani', 'first', 'weaked', 'creature', 'waste', 'time', 'come', 'let', 'teach', 'little', 'real', 'n', 'live', 'god', 'christian', 'r', 'convert', 'child', 'real', 'n', 'live', 'god', 'create', 'heaven', 'n', 'earth', 'word', 'n', 'word', 'jesus', 'christ']",2021-07-06T18:50:08Z,0.6454
215,"['sanatani', 'first', 'civilization', 'talk', 'one', 'north', 'south', 'america', 'tribe', 'massacre', 'one', 'another', 'local', 'culture', 'primitive', 'language', 'alphabetic', 'write', 'practice', 'ag']",2021-07-06T20:46:24Z,0.0
54,"['srinath', 'shrothrium', 'regular', 'viewer', 'republic', 'time']",2021-07-06T20:55:30Z,0.0
