,Reply,sentiment
107,"['sanatani', 'first', 'naxalite', 'huhh', 'great', 'wisdom', 'sorry', 'name', 'give', 'u', 'right', 'brand', 'convert', 'great', 'heart', 'sorry', 'tamper', 'graciousness', 'long', 'live', 'dharma', 'reign']",0.9371
108,"['g', 'anne', 'nithiya', 'please', 'spare', 'heathen', 'abuse', 'every', 'sunday', 'perhaps', 'everyday', 'case', 'hindu', 'another', 'zimmi', 'hate', 'fact', 'prefer', 'virtue', 'signal', 'instead', 'go', 'take', 'hike']",-0.5859
109,"['another', 'elect', 'man', 'tell', 'criminal', 'let', 'go', 'habit']",-0.5267
110,"['indian', 'government', 'kill', 'people']",-0.6908
111,"['wish', 'majorityso', 'accept', 'go', 'country', 'feel', 'give', 'justice', 'per', 'wish']",0.886
112,"['make', 'saint']",0.0
113,"['shame', 'judiciary', 'n', 'democracy', 'country']",-0.4767
114,"['india', 'wealthy', 'n', 'politically', 'connect', 'powerful']",0.6486
115,"['gopal', 'sriniwasan', 'lol', 'another', 'dhimmi', 'naxalite', 'get', 'full', 'support', 'every', 'single', 'christian', 'leave', 'thug']",0.6486
116,"['sanatani', 'first', 'dumbo', 'naxalites', 'use', 'lotus', 'government', 'n', 'r', 'election', 'time', 'kill', 'soldier', 'country', 'patriotism', 'drama', 'n', 'put', 'blame', 'others']",-0.7964
117,"['bona', 'rodrigues']",0.0
118,"['xyz', 'abc', 'naxalites', 'teach', 'tribals', 'constitution', 'wow', 'dude', 'wow', 'somethingand', 'abuse', 'damn', 'man', 'must', 'yahweh', 'follower']",0.1779
119,"['bona', 'rodrigues', 'another', 'true', 'christian', 'show', 'true', 'color']",0.6808
120,['thank'],0.3612
121,"['see', 'thing', 'even', 'blind', 'people', 'see', 'thing', 'beyond', 'monochromatic', 'set', 'propaganda', 'even', 'healthy', 'eyesight']",-0.25
122,"['sirhe', 'also', 'fight', 'languish', 'jail', 'without', 'trialshame', 'judiciary']",-0.3818
123,['lol'],0.4215
124,"['probably', 'fake', 'account', 'get', 'lose', 'everyone', 'talk', 'state', 'dont', 'bring', 'religion']",-0.7003
125,"['bring', 'religion']",0.0
126,"['court', 'sleepingthe', 'judiciary', 'power', 'investigate', 'agency']",0.0
127,"['true', 'servant', 'jejus', 'relentlessly', 'work', 'heathen', 'hindu', 'wipe', 'evangelise', 'yeh']",0.4215
128,['fact'],0.0
129,"['lol', 'convert', 'christianity', 'every', 'heathen', 'go', 'hell', 'wonder', 'comment', 'christian', 'support', 'naxalite']",-0.0258
130,"['sanatani', 'first', 'shift', 'goal', 'post', 'per', 'convenience', 'call', 'activist', 'quothuman', 'rightsquot', 'applicable', 'sadhu', 'phalagar']",0.0
131,"['trust', 'govt', 'missionary', 'ulterior', 'motif', 'missionary', 'r', 'dark']",0.5106
132,"['alvanor', 'elf', 'exactly']",0.0
133,"['jagdish', 'kumar', 'govt', 'useless', 'cant', 'wvn', 'anything', 'rape', 'victim', 'counry', 'worst', 'state']",-0.6442
134,"['lata', 'raymond', 'talk', 'priest', 'involve', 'child', 'abuse', 'name', 'religiontalk', 'recent', 'kerala', 'incident', 'madras', 'loyala', 'college', 'settlement']",-0.6369
135,"['jagdish', 'kumar', 'apology', 'behalf', 'comment', 'people', 'come', 'specific', 'pentecostal', 'church', 'tell', 'hate', 'hindu', 'agree', 'sermon', 'roman', 'catholic', 'church', 'think', 'take']",-0.25
136,"['father', 'face', 'karma']",0.0
137,"['think', 'rice', 'bag', 'dont', 'believe', 'karma', 'sad', 'day', 'rice', 'bag', 'milk', 'powder']",0.3724
138,"['father', 'stan', 'go', 'heaven', 'chaiwala', 'chela', 'ch', 'go', 'hell']",-0.3182
139,"['lata', 'raymond', 'okyou', 'follow', 'asap']",0.0
140,"['take', 'ur', 'whole', 'family', 'ur', 'come', 'hell', 'faltu']",-0.6808
141,"['lata', 'raymond', 'prove', 'quotborn', 'sinnerquot', 'sin', 'think', 'toopity']",-0.5574
142,"['people', 'arrest', 'year', 'back', 'nothing', 'suddenly', 'people', 'cry', 'horse', 'deathbtwhe', 'die', 'pvt', 'hospitaland', 'sure', 'would', 'like', 'enquiry', 'negligence', 'hospital']",0.0139
143,"['ya', 'right', 'everyone', 'apart', 'bhakts', 'bjp', 'member', 'urban', 'naxal', 'maoist', 'anti', 'national', 'today', 'india']",-0.3182
144,"['ur', 'human', 'inside', 'u', 'dead']",-0.6486
145,"['michael', 'brite', 'yes', 'sympathy', 'people', 'kill', 'innocent', 'people']",0.2263
146,"['cute', 'baccha', 'tell', 'kill', 'innocent', 'people', 'kill', 'one', 'missionary', 'n', 'two', 'son', 'year', 'orissawho', 'kill', 'priest', 'pull', 'liver', 'n', 'lung', 'n', 'put', 'cross', 'road', 'kill', 'priest', 'n', 'cut']",-0.9552
147,"['michael', 'brite', 'stop', 'talk', 'nonsense', 'shameless', 'creature', 'plunder', 'loot', 'people', 'name', 'christ']",-0.743
148,"['cute', 'baccha', 'u', 'saw', 'get', 'lose', 'man']",0.0772
149,"['cute', 'baccha', 'u', 'first', 'stop', 'ur', 'nonsense']",-0.2263
150,"['michael', 'brite', 'indian', 'channel', 'get', 'lose']",-0.4019
151,"['dont', 'know', 'nia', 'sure', 'celebrate', 'guy', 'home', 'town', 'there', 'nothing', 'could', 'wish', 'he', 'rot', 'naragam']",0.123
152,"['death', 'murder']",-0.8625
153,"['jai', 'prakashi', 'appal', 'hear', 'kind', 'conscience']",0.5267
154,"['jai', 'prakashthick', 'skin', 'fellow']",0.0
155,"['daphne', 'thick', 'skin', 'live', 'amongst', 'lot']",0.0
156,"['dudewhy', 'involve', 'motherthis', 'judicial', 'murder']",-0.6908
157,"['alive', 'one', 'speak', 'death', 'express', 'outragehypocrites', 'thy', 'name', 'indian']",-0.3182
158,"['lol', 'live', 'forever', 'since', 'carry', 'evangelism', 'heathen', 'support', 'naxalites', 'kudos']",0.8316
159,"['sanatani', 'first', 'low', 'fall', 'human', 'right', 'activist', 'people', 'like', 'black', 'mark', 'hinduism', 'end', 'day', 'life', 'work', 'sacrifice', 'label']",0.1027
160,"['surya', 'ravi', 'lol', 'zimmi', 'talk', 'hinduism', 'support', 'antihindu', 'evangelist', 'naxalite', 'every', 'jihadi', 'naxalite', 'india', 'claim', 'human', 'right', 'activist', 'wonder', 'come', 'single', 'one', 'come', 'support', 'kashmiri', 'hin']",0.802
161,"['sanatani', 'first', 'man', 'really', 'desperate', 'butthurt', 'reply', 'comment']",-0.3804
162,"['lol', 'convert', 'field', 'day', 'today']",0.4215
163,"['judiciary', 'country', 'bro', 'belong', 'clan', 'time', 'people', 'country', 'question', 'hold', 'judge', 'accountability']",0.0
164,"['hinduism', 'exist', 'year', 'think', 'old', 'man', 'go', 'convert', 'hindu', 'christian', 'wake', 'man']",0.0
165,"['judicial', 'murder']",-0.6908
166,"['gopal', 'sriniwasan', 'lol', 'gopal', 'srinivasnan', 'name', 'apologist', 'naxalite', 'evangelist']",0.4215
167,"['low', 'knowledge', 'fr', 'stan', 'swamy', 'read']",-0.2732
168,"['edna', 'jam', 'absolutely', 'disagree']",-0.4391
169,"['edna', 'jam', 'u', 'people', 'bcoz', 'christian', 'support', 'blindly', 'maoist', 'naxal', 'support']",0.6597
170,"['yes', 'think', 'murder', 'u', 'murder', 'many', 'become', 'self', 'proclaim', 'activist', 'ur', 'non', 'violent', 'ur']",-0.9118
171,"['sofia', 'auddy', 'andh', 'bhakto', 'ki', 'koi', 'kami', 'nahi', 'hai', 'bmera', 'bharat']",0.0
172,"['good', 'chamchagodi', 'key', 'board', 'warriorhe', 'jail', 'evidiencewhile', 'pragiya', 'thakur', 'convict', 'evidence', 'member', 'parliament']",0.4404
173,"['power', 'especially', 'judicial', 'power', 'kill', 'innocent', 'priest', 'liable', 'pay', 'heavy', 'price']",-0.6077
174,"['amal', 'raj', 'innocentnice', 'joke']",0.296
175,"['fool', 'say', 'evidence', 'careful', 'tarnish', 'image', 'person', 'baseless', 'bakwaas', 'uapa', 'bakwas', 'hai', 'murder', 'voiceless', 'powerless']",-0.8807
176,"['dennismurmu', 'sdb', 'frustrate']",-0.4588
177,"['anti', 'indian']",-0.3182
178,['per'],0.0
179,"['adivasis', 'underprivileged']",0.0
180,"['jam', 'watkins', 'shame', 'government', 'independence', 'still', 'underprivileged', 'country', 'condemn', 'first', 'rather', 'make', 'stupid', 'statement']",-0.8442
181,"['jam', 'watkins', 'worry', 'earth', 'soon', 'clesned', 'quotborn', 'sinnersquotand', 'lord', 'happy']",0.2023
182,"['die', 'cardiac', 'arrest', 'anyone', 'could', 'cardiac', 'arrest']",-0.8271
183,"['tomorrow', 'u', 'r', 'book', 'falsely', 'n', 'jail', 'n', 'u', 'ask', 'medical', 'bail', 'n', 'get', 'reject', 'n', 'u', 'side', 'heart', 'attack', 'take', 'normally', 'okay']",-0.5994
184,"['michael', 'brite', 'know', 'innocent']",0.34
185,"['ashish', 'sharma', 'fair', 'case', 'tomorrow', 'u', 'get', 'arrest', 'falsely', 'n', 'people', 'say', 'know', 'wether', 'u', 'r', 'innocent']",0.3182
186,"['michael', 'brite', 'court', 'always', 'examine', 'evidence', 'bail', 'remember', 'uapa', 'bail', 'grant', 'delhi', 'case']",0.3612
