Name,Comment,tone
Luke Jalal,"So sad and pathetic tale of Father Swamy. Credit goes to the creator of NIA,probably it was created by BJP, mainly suppress the Christian father or priest who are representing faith. BJP and RSS and NIA are imminent to downfall.","{'document_tone': {'tones': [{'score': 0.774085, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.833659, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'So sad and pathetic tale of Father Swamy.', 'tones': [{'score': 0.898415, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Credit goes to the creator of NIA,probably it was created by BJP, mainly suppress the Christian father or priest who are representing faith.', 'tones': [{'score': 0.513494, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.5449, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'BJP and RSS and NIA are imminent to downfall.', 'tones': []}]}"
Jamila Koshy,"Thanks for reminding us. We need police and judicial reforms.   We need citizens&#39; rights&#39; - for all, adivasi, tribal, women - to have priority. We need to scrap all these black,  draconian laws that deny bail and give abusive powers to government. And we need police and government officials who abuse power to be held to account.  Starting with the NIA officers who put these cases against the BK16, with poor or no evidence, and cannot even frame charges,  but deny bail to them.","{'document_tone': {'tones': [{'score': 0.543742, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Thanks for reminding us.', 'tones': [{'score': 0.716494, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'We need police and judicial reforms.', 'tones': []}, {'sentence_id': 2, 'text': 'We need citizens&#39; rights&#39; - for all, adivasi, tribal, women - to have priority.', 'tones': [{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 3, 'text': 'We need to scrap all these black,  draconian laws that deny bail and give abusive powers to government.', 'tones': [{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 4, 'text': 'And we need police and government officials who abuse power to be held to account.', 'tones': []}, {'sentence_id': 5, 'text': 'Starting with the NIA officers who put these cases against the BK16, with poor or no evidence, and cannot even frame charges,  but deny bail to them.', 'tones': [{'score': 0.668095, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
Kris Wu,DK Biswal NDTV Totaly gives Vadkau Bhasan,{'document_tone': {'tones': []}}
Mother Alexia convent,Very sorry Father God  have mercy on us,"{'document_tone': {'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Rashtra bhakt🇮🇳,<b>Jai ho yogi ji mahilaon Ko Diya tohfa ab adhik bachcha paida karne ki machine band🤣🤣🤣🤣🤣</b>,{'document_tone': {'tones': []}}
Joe Cool,Father Swamy ko naman🙏,"{'document_tone': {'tones': [{'score': 0.617475, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
vikram patil,Danga badkane Wala Tha Maharashtra me maratha aur mahar ke between ....,{'document_tone': {'tones': []}}
Abdus samee,BJP is a criminal and fascist government.,{'document_tone': {'tones': []}}
Prakash Ray,"Chup be ravishwa ,abe wo 50 saal k andar Ranchi se lekar ,Raukela,Jamsed pur tak lagbhag sare adibashio ka dharmantaran karta raha,ki ghanta seva kia.?",{'document_tone': {'tones': []}}
jainny1000,"Ravish is proved to himself as swine, he is a black spot on the name of journalist, he is sold out his life and respect for money. He is brandi in man shape.","{'document_tone': {'tones': [{'score': 0.709964, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Ravish is proved to himself as swine, he is a black spot on the name of journalist, he is sold out his life and respect for money.', 'tones': []}, {'sentence_id': 1, 'text': 'He is brandi in man shape.', 'tones': []}]}"
,,{'document_tone': {'tones': []}}
jainny1000,"Ghariyali aansu bahane wale kamine,  have you ever told that this man was a culprit under anti national acts. This old shaitan was involved in conversion of hindus minorities. It was neither a father nor you are a journalist,  you both are urban naxals..country knows well","{'document_tone': {'tones': [{'score': 0.520612, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.608066, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Ghariyali aansu bahane wale kamine,  have you ever told that this man was a culprit under anti national acts.', 'tones': []}, {'sentence_id': 1, 'text': 'This old shaitan was involved in conversion of hindus minorities.', 'tones': []}, {'sentence_id': 2, 'text': 'It was neither a father nor you are a journalist,  you both are urban naxals..country knows well', 'tones': [{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
Raja Jha,Yah ek nyayik marder he,{'document_tone': {'tones': []}}
Raja Jha,Ye desh Raja maharaja ka he yaha loktantra he kaha sarkar loktantr ke nam pe logo ko gumarah kar rahe he is desh me nyay pana aur god se milna barabar he,{'document_tone': {'tones': []}}
Toxic🤫,Jitne log inki marne k baad tweet kar rhe hain ye sale dalle mile huye hain sali do line likh k kya mje le rhe ho inke pas itni power hone k bad bhi unko nhi support kiya same on you  all bad politicians,"{'document_tone': {'tones': [{'score': 0.819528, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
