Name,Comment,tone
Vijitha Chris,"O God O God,O God","{'document_tone': {'tones': [{'score': 0.617711, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Sudhir Debbarma,Nation-wide protest is need to be observed,{'document_tone': {'tones': []}}
Sudhir Debbarma,Indian judiciary n bureaucrats are mishandling the laws...,"{'document_tone': {'tones': [{'score': 0.552531, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Carlos D'Souza,WHEN YOU HAVE GIVEN YOUR LIFE TO GOD WHY GET INVOLVE  WITH ANTI NATIONALIST??,"{'document_tone': {'tones': [{'score': 0.55689, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
Sudhir Debbarma,Seeking spelling mistake,"{'document_tone': {'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Dr O George,Sad that we didn’t unite to save this noble soul. No unity in our diversity.,"{'document_tone': {'tones': [{'score': 0.853277, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.720783, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Sad that we didn’t unite to save this noble soul.', 'tones': [{'score': 0.89939, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'No unity in our diversity.', 'tones': []}]}"
MANJULA CORNELIO,May your soul rest in peace  Fr. 🙏🙏🙏💐😥😩😩😥🙏,"{'document_tone': {'tones': [{'score': 0.683308, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'May your soul rest in peace  Fr.', 'tones': [{'score': 0.683308, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': '🙏🙏🙏💐😥😩😩😥🙏', 'tones': []}]}"
Jyotsana Nag,So this is what the government is doing?? Terribe it&#39;s how they are killing the truth,{'document_tone': {'tones': []}}
MARGARET SOPHIA,Rest in Peace Father.... Karma will pay its price,"{'document_tone': {'tones': [{'score': 0.511655, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
petextra,"by the way, was it not the congress govemrn ment in charge of the jails and his custody? and what about the court finding legitimate grounds to refuse him bail? the court is lying too - all part of the big conspiracy !","{'document_tone': {'tones': [{'score': 0.648781, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'by the way, was it not the congress govemrn ment in charge of the jails and his custody?', 'tones': []}, {'sentence_id': 1, 'text': 'and what about the court finding legitimate grounds to refuse him bail? the court is lying too - all part of the big conspiracy !', 'tones': []}]}"
petextra,"so in short he was a totally innocent and saintly person  had nothing to do with training tribals to take up arms against the government? you&#39;re 100% sure is it?? its all a frame-up of an innocent man, wow!","{'document_tone': {'tones': [{'score': 0.965244, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'so in short he was a totally innocent and saintly person  had nothing to do with training tribals to take up arms against the government?', 'tones': [{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'you&#39;re 100% sure is it?? its all a frame-up of an innocent man, wow!', 'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
,,{'document_tone': {'tones': []}}
Chanasa Christina Madar,Father you&#39;ll be remembered always ❤️,"{'document_tone': {'tones': [{'score': 0.810019, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
