,Reply,sentiment
101,"['majority', 'suppress', 'minoritiesit', 'everywhere']",0.0
102,"['one', 'face', 'injustice', 'cruel', 'treatment', 'justice', 'every', 'right']",-0.35714285714285715
103,"['sentiment', 'admirable', 'ravish', 'kumar', 'ravi']",0.0
104,"['adani', 'want', 'adivasi', 'land', 'mine']",0.0
105,"['vampanthi', 'hero', 'kab', 'se', 'ho', 'gaye']",0.0
106,"['rohit', 'suryavanshi', 'mind', 'set', 'bro', 'even', 'know', 'happy', 'one', 'charge', 'r', 'tax', 'r', 'thing', 'least', 'think', 'child', 'education', 'job', 'sad']",0.0
107,"['ha', 'ha', 'trust', 'r', 'amp', 'vote', 'bjp']",0.0
108,"['herokuch', 'bhi']",0.0
109,"['rajan', 'lagah', 'mind', 'set', 'vampanthi']",0.0
110,"['jo', 'r', 'waley', 'kuttey', 'aj', 'bhaunk', 'rahe', 'heyaj', 'se', 'saal', 'baad', 'se', 'inke', 'nasale', 'ye', 'baat', 'duniya', 'se', 'chupate', 'chupate', 'hayran', 'ho', 'jayenge', 'ke', 'inke', 'baap', 'r', 'ke', 'pilley', 'huwa', 'karte', 'pillo', 'ki', 'naslo', 'ko', 'tab', 'na', 'kahi', 'ka', 'visa', 'milegana', 'kahin', 'ka', 'naukri']",0.0
111,"['bagha', 'zukhov', 'hann', 'jab', 'inke', 'bache', 'poochenge', 'k', 'jab', 'desh', 'itna', 'dard', 'tha', 'app', 'log', 'kya', 'good', 'kr', 'rahe', 'tab', 'kahenge', 'k', 'hamm', 'r', 'tax', 'de', 'rahe', 'modi', 'ko', 'r', 'ki', 'cheez', 'p', 'ta', 'ki', 'vo', 'company', 'privatise', 'kr', 'de']",0.7
112,"['rupesh', 'g']",0.0
113,"['rohit', 'suryavanshi', 'dna']",0.0
114,"['sachin', 'bhangare', 'tum', 'logone', 'sharam', 'chhod', 'didesh', 'ke', 'khilap', 'baate', 'karte', 'honaxali', 'banate', 'hodharmantaran', 'karte', 'hosharm', 'ki', 'jaroorat', 'tum', 'jaise', 'ghatiya', 'communist', 'ko', 'haijo', 'stan', 'swamy', 'jaise', 'naxali', 'ko', 'hero', 'bana', 'rahe', 'ho']",0.0
115,"['sachin', 'bhangare', 'thodi', 'tari', 'laaj', 'balageka', 'naxali', 'dharmantaran', 'karnarya', 'baddal', 'tula', 'evdhi', 'sympathy', 'ka']",0.0
116,"['sachin', 'bhangare', 'deshbhakt', 'ka', 'dna', 'hainaxali', 'deshdrohi', 'ka', 'nahi']",0.0
117,"['rupesh', 'g']",0.0
118,"['rupesh', 'g']",0.0
119,"['rupesh', 'g']",0.0
120,"['sachin', 'bhangare', 'naxali', 'pe', 'tume', 'itana', 'pyar', 'kyo', 'aa', 'raha', 'haiitani', 'mirchi', 'lagi', 'kya', 'tujhe', 'kaise', 'deshbhakt', 'hoek', 'naxali', 'deshvirodhi', 'kaam', 'karnewale', 'ko', 'support', 'karte', 'ho']",0.0
121,"['sachin', 'bhangare', 'tera', 'dna', 'vampanthi', 'leftist', 'dallali', 'chamcho', 'pappu', 'ka', 'hain', 'check', 'kar']",-0.05
122,"['lol', 'hero']",0.8
123,"['sachin', 'bhangare', 'acha', 'mazak', 'krts', 'hsaste', 'nashe']",0.0
124,"['sachin', 'bhangare', 'beta', 'tum', 'jaise', 'communisto', 'ka', 'koi', 'desh', 'nahi', 'hotadesh', 'ko', 'bechnewali', 'jamat', 'hai', 'ye', 'naxali', 'communist']",0.0
125,"['rohit', 'suryavanshi', 'tm', 'kaha', 'ke', 'rahne', 'waala', 'h', 'bol', 'tmhre', 'uppar', 'fir', 'krna', 'h', 'tm', 'kaise', 'inko', 'bampnthi', 'kah', 'raha', 'h', 'kya', 'sabit', 'h', 'tmhre', 'pas', 'jaldi', 'btao']",0.0
126,"['md', 'saif', 'ali', 'acha', 'joke', 'mara', 'hain', 'vampanthi', 'muslim', 'bhai', 'bhai']",0.0
