,Comment,sentiment
162,['uapa'],0.0
163,"['rabish', 'kumar', 'ke', 'mounh', 'se', 'rabish', 'baatein', 'hi', 'nikal', 'sakti', 'hain', 'jab', 'nia', 'ne', 'sadvi', 'pragya', 'ko', 'pakra', 'tha', 'wo', 'maamla', 'sacha', 'tha', 'aur', 'father', 'stan', 'swamy', 'ko', 'galt', 'pakra', 'gya', 'wa', 'rabish', 'wah', 'rabish', 'mr', 'judge', 'know', 'person', 'age', 'conspire']",0.0
164,"['system', 'failedmrravish', 'really', 'great']",0.659
165,"['shame', 'shme', 'jangal', 'raj']",-0.4767
166,"['one', 'twelve', 'apostle', 'christ', 'die', 'martyr', 'illegal', 'imprisonment', 'work', 'goodness', 'people', 'whether', 'hindu', 'muslim', 'christian', 'etc', 'serve', 'make', 'bring', 'peace', 'prosperity', 'country', 'work', 'better', 'man', 'human']",0.2263
167,"['election', 'unite', 'show', 'exit', 'dooor', 'bjp', 'end', 'doctatorship', 'rule']",0.0
168,"['stan', 'pay', 'karma']",-0.1027
169,"['kind', 'christian', 'would', 'keep', 'hindu', 'surname', 'like', 'swamy', 'hypocrite']",0.7096
170,"['ensure', 'death', 'keep', 'captivity']",-0.3182
171,"['sara', 'bekasuro', 'ko', 'insaaf']",0.0
172,"['chor', 'court', 'barpai', 'de', 'asa', 'nojjawano', 'ko']",0.0
173,"['please', 'talk', 'coversion', 'also']",0.3182
174,"['heart', 'touch', 'newsitna', 'kast', 'sahna', 'pada', 'father', 'stan', 'swami', 'kodukh', 'sahte', 'sahte', 'dam', 'tod', 'diyastan', 'swami', 'ko', 'mar', 'diya', 'gayastan', 'swami', 'ko', 'jaldse', 'jald', 'niyai', 'milna', 'chahiyei', 'proud', 'swami', 'jipraise', 'lord']",0.4767
175,"['nambinarayan', 'psudos']",0.0
176,"['god', 'almighty', 'reward', 'child', 'stan', 'swamy', 'run', 'race', 'jesus', 'protect', 'family']",0.8126
177,"['dale', 'steyn', 'ka', 'bhai', 'tha']",0.0
178,"['worse', 'emergency', 'show', 'government', 'put', 'anyone', 'hate', 'jail', 'kill', 'implicate', 'false', 'case', 'put', 'evidence', 'forcebly', 'computer', 'court', 'also', 'help', 'case', 'stan', 'swamy', 'nothing', 'happen', 'pune', 'work', 'poor', 'people', 'jharkhand', 'though', 'swamy', 'prove', 'innocence', 'court', 'give', 'bail', 'torture', 'jail', 'death', 'one', 'bhat', 'jail', 'gujarat', 'numerous', 'people', 'jail', 'falsely', 'implicate', 'crime', 'live', 'democracy', 'authoritarian', 'rule', 'emergency', 'still', 'force', 'swamy', 'case', 'government', 'want', 'people', 'help', 'poor', 'people', 'seem', 'put', 'behind', 'bar', 'torture', 'death']",-0.9879
179,"['pray', 'martyr', 'fr', 'jam', 'kottayil', 'sj', 'nawatnr', 'parish', 'ranchi', 'dioeces', 'th', 'july', 'st', 'john', 'baptist', 'church', 'thuruthipally', 'pala', 'dioeces', 'kerala', 'india']",0.3182
180,"['bahot', 'khatarnak', 'log', 'haiwaiwan', 'hai', 'koi', 'bhawana', 'nahi', 'sirf', 'manani', 'hukumshahi', 'se', 'logoko', 'dabana', 'chahate', 'hai']",0.0
181,"['rip', 'name', 'service', 'missionary', 'work', 'convertion', 'poor', 'people']",-0.4767
182,"['hataashniraashaur', 'kuch', 'naidesh', 'main', 'yah', 'ab', 'chal', 'raha', 'hai']",0.0
183,"['india', 'pakistan', 'democracy', 'shame']",-0.4767
184,"['pm', 'sorry', 'pm', 'devil', 'incarnate', 'please', 'god', 'take', 'himyou', 'say']",-0.3182
185,"['modi', 'govt', 'prove', 'murderer', 'outspoken', 'writer']",-0.6808
186,"['justice', 'shahbuddin', 'sahab']",0.5267
187,"['rama', 'pandey', 'sidhi', 'republic', 'ko', 'dekhiye', 'aankhe', 'khul', 'jayengi', 'sab', 'samne', 'aa', 'jayega']",0.0
188,"['wah', 'dogle', 'log', 'yek', 'naksli', 'ke', 'marne', 'pe', 'natak', 'kar', 'rahe']",0.0
189,"['janch', 'agency', 'ka', 'khilaph', 'bhi', 'jaoon', 'bhi', 'brabdhan', 'hona', 'chahiye']",0.0
190,"['bina', 'chaddi', 'vala', 'baba', 'ravish', 'dardar', 'bhatkta', 'hai', 'allah']",0.0
191,"['involve', 'missionary', 'activity', 'fellow', 'convert', 'poor', 'adivasis', 'christianity', 'get', 'crore', 'fromwestern', 'country', 'thats', 'hate', 'antinational', 'ravish', 'kumar']",-0.7783
192,"['wow', 'crypto', 'jihadi', 'narrative', 'come', 'yo', 'man', 'indulge', 'terrorism', 'anti', 'national', 'activitieswell', 'jihadi', 'exmalaysian', 'president', 'mahatir', 'year', 'old', 'yet', 'say', 'muslim', 'must', 'behead', 'people', 'critisise', 'islam', 'muhammad', 'al', 'queda', 'chief', 'ayman', 'alzawahiri', 'old', 'man', 'aurangzeb', 'old', 'destroy', 'hindu', 'temple', 'wag', 'war', 'hindu', 'munawwar', 'rana', 'justify', 'blasphemy', 'kill', 'france', 'old', 'missionary', 'kill', 'swami', 'laxmananada', 'swami', 'shanti', 'kali', 'also', 'saw', 'pay', 'journalist', 'malign', 'cancer', 'stricken', 'sadhvi', 'pragya', 'case', 'still', 'subjudice', 'later', 'acquit', 'well', 'hinduphobes', 'like', 'ravish', 'call', 'sadhvi', 'pragya', 'guilty', 'terrorism', 'n', 'pay', 'journalist', 'talk', 'reverently', 'terrorist', 'missionary', 'stan', 'swamy', 'accuse', 'multiple', 'charge', 'include', 'plan', 'assassination', 'terrorismhow', 'lowly', 'scribe', 'ravish', 'look', 'mirror', 'shameless', 'creature']",-0.9933
