,Reply,Published,sentiment
551,"['satish', 'kumar', 'andhbhakt', 'spammer', 'spot']",2021-07-06T03:23:03Z,-0.4939
999,"['u', 'nothing', 'short', 'coldblooded', 'murder', 'union', 'govt', 'argument', 'excuse', 'remove', 'blood', 'hand', 'empty', 'rhetoric', 'well', 'word', 'speech', 'cover', 'truth', 'justice', 'eventually', 'triumph']",2021-07-06T03:25:09Z,0.9305
1058,"['sulagana', 'biswas', 'minority', 'people', 'vote', 'bjp', 'give', 'much', 'seat', 'election', 'think', 'dictator']",2021-07-06T03:25:17Z,0.0
463,"['joy', 'mascarenhas', 'sahi', 'bolla']",2021-07-06T03:26:16Z,0.5859
516,"['saurav', 'kumar', 'bjp', 'spammer']",2021-07-06T03:27:00Z,-0.4939
517,"['ya', 'ya', 'modi', 'toh', 'ishvarr', 'haiimodi', 'fk']",2021-07-06T03:28:31Z,0.0
647,"['sanket', 'dongre', 'fenkus', 'name', 'plate', 'lgeana', 'hee', 'greib', 'logg', 'roj', 'dwaeon', 'kee', 'bina', 'marr', 'rahe', 'hai', 'modi', 'koo', 'modi', 'mehal', 'cahiee', 'center', 'vica', 'pm', 'ambani', 'adani', 'loan', 'muaf', 'tax', 'muaf', 'karrenge', 'bharat', 'mata', 'koo', 'bech', 'diya', 'kyear', 'sangiion', 'nee']",2021-07-06T03:28:45Z,0.0
969,"['know', 'guy', 'celebrate']",2021-07-06T03:29:16Z,0.5719
472,"['harshbruh', 'use', 'ur', 'brain', 'something', 'like', 'fever', 'slow', 'evolve', 'sickness', 'start', 'atleast', 'year', 'ago', 'stand', 'swamy']",2021-07-06T03:29:32Z,0.3612
921,"['father', 'humanity']",2021-07-06T03:29:35Z,0.0
970,"['manjula', 'shanmugasundaram']",2021-07-06T03:41:57Z,0.0
960,"['sulagana', 'biswas', 'brutal', 'dude']",2021-07-06T03:46:06Z,-0.6249
922,"['shame', 'bjp', 'government', 'torcherd', 'poor', 'old', 'man']",2021-07-06T03:51:22Z,-0.7351
1059,"['salute', 'govt', 'inhumanity', 'spit', 'upon', 'face']",2021-07-06T03:55:58Z,0.0
1085,"['dream', 'r', 'spread', 'darkness']",2021-07-06T03:58:00Z,0.0
543,"['fir', 'aap', 'bjp', 'kyo', 'vot', 'karta', 'ho']",2021-07-06T03:58:01Z,0.0
552,"['people', 'afraid', 'present', 'fasist', 'regime', 'modi', 'arrest', 'charge', 'wag', 'war', 'india']",2021-07-06T04:00:31Z,-0.7579
